subject	density	population	area	district
Москва	4883.43	12506468	2561	ЦФО
Санкт-Петербург	3814.64	5351935	1403	СЗФО
Севастополь	505.41	436670	864	ЮФО
Московская область	169.27	7503385	44329	ЦФО
Республика Ингушетия	134.52	488043	3628	СКФО
Чеченская Республика	91.84	1436981	15647	СКФО
Республика Северная Осетия — Алания	87.86	701765	7987	СКФО
Краснодарский край	74.23	5603420	75485	ЮФО
Республика Крым	73.38	1913731	26081	ЮФО
Кабардино-Балкарская Республика	69.43	865828	12470	СКФО
Чувашская Республика	67.12	1231117	18343	ПФО
Калининградская область	65.76	994599	15125	СЗФО
Республика Дагестан	60.95	3063885	50270	СКФО
Самарская область	59.62	3193514	53565	ПФО
Республика Адыгея	58.18	453376	7792	ЮФО
Тульская область	58.10	1491855	25679	ЦФО
Республика Татарстан	57.40	3894284	67847	ПФО
Белгородская область	57.12	1549876	27134	ЦФО
Липецкая область	47.83	1150201	24047	ЦФО
Владимирская область	47.39	1378337	29084	ЦФО
Ивановская область	47.33	1014646	21437	ЦФО
Воронежская область	44.69	2333768	52216	ЦФО
Ставропольский край	42.33	2800674	66160	СКФО
Нижегородская область	42.22	3234752	76624	ПФО
Ростовская область	41.80	4220452	100967	ЮФО
Челябинская область	39.46	3493036	88529	УФО
Курская область	37.18	1115237	29997	ЦФО
Удмуртская Республика	35.97	1513044	42061	ПФО
Ярославская область	34.99	1265684	36177	ЦФО
Брянская область	34.74	1210982	34857	ЦФО
Калужская область	33.99	1012156	29777	ЦФО
Ульяновская область	33.53	1246618	37181	ПФО
Карачаево-Черкесия	32.65	466305	14277	СКФО
Республика Мордовия	30.81	805056	26128	ПФО
Пензенская область	30.72	1331655	43352	ПФО
Орловская область	30.31	747247	24652	ЦФО
Тамбовская область	29.99	1033552	34462	ЦФО
Республика Марий Эл	29.19	682333	23375	ПФО
Республика Башкортостан	28.43	4063293	142947	ПФО
Рязанская область	28.32	1121474	39605	ЦФО
Кемеровская область	28.15	2694877	95725	СФО
Саратовская область	24.33	2462950	101240	ПФО
Волгоградская область	22.34	2521276	112877	ЮФО
Свердловская область	22.26	4325256	194307	УФО
Ленинградская область	21.62	1813816	83908	СЗФО
Астраханская область	20.76	1017514	49024	ЮФО
Смоленская область	19.07	949348	49779	ЦФО
Пермский край	16.37	2623122	160236	ПФО
Оренбургская область	15.99	1977720	123702	ПФО
Новосибирская область	15.69	2788849	177756	СФО
Тверская область	15.25	1283873	84201	ЦФО
Алтайский край	13.99	2350080	167996	СФО
Омская область	13.89	1960081	141140	СФО
Курганская область	11.83	845537	71488	УФО
Приморский край	11.62	1913037	164673	ДВФО
Псковская область	11.49	636546	55399	СЗФО
Новгородская область	11.13	606476	54501	СЗФО
Костромская область	10.68	643324	60211	ЦФО
Кировская область	10.66	1283238	120374	ПФО
Тюменская область	9.36	1498779	1464173	УФО
Республика Хакасия	8.73	537513	61569	СФО
Вологодская область	8.14	1176689	144527	СЗФО
Сахалинская область	5.63	490181	87101	ДВФО
Мурманская область	5.20	753557	144902	СЗФО
Еврейская автономная область	4.47	162014	36271	ДВФО
Республика Калмыкия	3.69	275413	74731	ЮФО
Республика Карелия	3.45	622484	180520	СЗФО
Томская область	3.43	1078280	314391	СФО
Иркутская область	3.10	2404195	774846	СФО
Ханты-Мансийский автономный округ — Югра	3.09	1655074	534801	УФО
Республика Бурятия	2.80	984511	351334	ДВФО
Архангельская область	2.69	1111031	361908	СЗФО
Забайкальский край	2.48	1072806	431892	ДВФО
Республика Алтай	2.35	218063	92903	СФО
Амурская область	2.21	798424	361908	ДВФО
Республика Коми	2.02	840873	416774	СЗФО
Республика Тыва	1.91	321722	168604	СФО
Хабаровский край	1.69	1328302	787633	ДВФО
Красноярский край	1.22	2876497	2366797	СФО
Ямало-Ненецкий автономный округ	0.70	538547	769250	УФО
Камчатский край	0.68	315557	464275	ДВФО
Республика Саха (Якутия)	0.31	964330	3083523	ДВФО
Магаданская область	0.31	144091	462464	ДВФО
Ненецкий автономный округ	0.25	43997	176810	СЗФО
Чукотский автономный округ	0.07	49348	721481	ДВФО
